"17,690",312,BEVERLY,n,170642186273,170536186497
"17,691",481,ACADEMY,n,171427186505,171367186028
"17,695",55,BENT,n,169229186580,169283186581
"17,696",259,BRIAR,n,169882186584,170137186566
"17,697",192,AMSTEL,n,171095186560,170910186592
"17,698",92,BRIAR,n,169796186619,169882186584
"17,702",187,AMSTEL,n,170910186592,170739186668
"17,703",45,AMSTEL,n,170739186668,170699186689
"17,706",217,BRIAR,n,169668186764,169796186619
"17,707",269,ACADEMY,n,171448186773,171427186505
"17,708",399,BENT,n,169283186581,169607186793
"17,713",259,CHELTENHAM,n,170268186848,170504186739
"17,714",105,BENT,n,169607186793,169684186865
"17,715",102,BRIAR,n,169684186865,169668186764
"17,719",150,ACADEMY,n,171458186923,171448186773
"17,721",148,BENT,n,169684186865,169793186965
"17,722",261,CHELTENHAM,n,170042186972,170268186848
"17,723",467,CHELTENHAM,n,169668186764,170042186972
"17,725",148,CENTER,n,171542186931,171520187077
"17,726",252,BENT,n,169793186965,169977187138
"17,727",208,AMHERST,n,169386186949,169359187150
"17,728",74,CENTER,n,171520187077,171510187151
"17,729",235,CHOATE,n,171647187176,171689186945
"17,730",393,BRIAR,n,169797187227,169684186865
"17,731",170,BENT,n,169977187138,170055187289
"17,732",173,BAYLOR,n,169541187153,169586187319
"17,733",239,AMHERST,n,169359187150,169395187384
"17,734",198,BAYLOR,n,169586187319,169467187450
"17,735",103,ANNABELLE,n,171699187388,171641187473
"17,736",36,ANNABELLE,n,171641187473,171621187502
"17,738",261,BAYLOR,n,169467187450,169234187492
"17,948",171,BRIAR,n,169872187379,169797187227
"19,201",118,O DANIEL,n,169543185956,169464185870
"19,202",151,PHELPS,n,169543185956,169548185826
"19,203",147,WILLA,n,170257185968,170259185821
"19,204",120,PARK,n,170377185967,170257185968
"19,205",93,PARK,n,170469185970,170377185967
"19,206",132,PARK,n,170601185971,170469185970
"19,207",72,PATRICK HENRY,n,169445186241,169469186173
"19,263",156,WESTFIELD,n,169548185826,169478185751
"19,264",124,MANNS,n,170592185831,170468185827
"19,265",112,MANNS,n,170704185834,170592185831
"19,266",184,TOWNSEND,n,170704185834,170706185650
"19,268",119,MANNS,n,170823185839,170704185834
"19,269",188,ORCHARD,n,170824185652,170823185839
"19,271",99,WESTFIELD,n,169464185870,169548185826
"19,272",247,O DANIEL,n,169802185687,169675185895
"19,274",104,MANUAL,n,171626185914,171627185810
"19,275",227,PARK,n,171853185904,171626185914
"19,277",273,PARK,n,171626185914,171354185925
"19,278",253,PARK,n,171354185925,171101185935
"19,279",152,PARK,n,172000185944,171853185904
"19,280",138,PARK,n,171101185935,170964185946
"19,281",61,LINCOLN,n,170009185931,169964185971
"19,282",114,PARK,n,170716185974,170601185971
"19,283",135,ORCHARD,n,170823185839,170822185974
"19,284",145,PARK,n,170964185946,170822185974
"19,285",107,PARK,n,170822185974,170716185974
"19,286",188,PARK,n,170257185968,170073185987
"19,287",26,COLLEGE,n,169922185988,169946185990
"19,288",25,LINCOLN,n,169964185971,169946185990
"19,289",119,O DANIEL,n,169675185895,169613185992
"19,290",83,O DANIEL,n,169613185992,169543185956
"19,291",117,HAINES,n,171779185994,171853185904
"19,292",102,MANUAL,n,171630186017,171626185914
"19,293",151,COURTNEY,n,171630186017,171779185994
"19,294",263,COURTNEY,n,171367186028,171630186017
"19,295",57,CONNELL,n,169613185992,169625186047
"19,296",105,PEACH,n,170377185967,170356186067
"19,297",158,GRANTHAM,n,170615186069,170456186067
"19,298",192,MURRAY,n,170356186067,170172186092
"19,299",376,THORN,n,169931185836,169688186110
"19,302",164,COLLEGE,n,169951186129,169922185988
"19,303",50,THORN,n,169688186110,169643186130
"19,304",39,QUINCEY,n,169951186129,169991186134
